  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
  0.0000,   0.0000000000,   0.0000000000,   0.0000000000,  -0.0000000000,  -0.0000000000
  0.3736,   0.0000000000,   0.0000000000,   0.0000000000,  -0.0000000000,  -0.0000000000
  0.7472,   0.0000000073,   0.0000000041,   0.0000000008,  -0.0000000012,  -0.0000000015
  1.1207,   0.0000003941,   0.0000002185,   0.0000000419,  -0.0000000659,  -0.0000000798
  1.4943,   0.0000092109,   0.0000050575,   0.0000009699,  -0.0000015245,  -0.0000018447
  1.8679,   0.0001092498,   0.0000592242,   0.0000113538,  -0.0000178431,  -0.0000215837
  2.2415,   0.0007506754,   0.0004003487,   0.0000767173,  -0.0001205358,  -0.0001457483
  2.6151,   0.0033282819,   0.0017383202,   0.0003329243,  -0.0005229138,  -0.0006319769
  2.9887,   0.0103887087,   0.0052821585,   0.0010109239,  -0.0015871770,  -0.0019169803
  3.3622,   0.0244860705,   0.0120254494,   0.0022993612,  -0.0036081374,  -0.0043542441
  3.7358,   0.0461018197,   0.0216401909,   0.0041327523,  -0.0064805401,  -0.0078120250
  4.1094,   0.0725308657,   0.0320742913,   0.0061154547,  -0.0095806113,  -0.0115320282
  4.4830,   0.0988525897,   0.0403507464,   0.0076762871,  -0.0120103201,  -0.0144272903
  4.8566,   0.1201246530,   0.0439188555,   0.0083282869,  -0.0130062569,  -0.0155779952
  5.2302,   0.1331870854,   0.0415980257,   0.0078493040,  -0.0122231152,  -0.0145737585
  5.6037,   0.1372384727,   0.0337134115,   0.0063069323,  -0.0097719105,  -0.0115579898
  5.9773,   0.1333720386,   0.0216372814,   0.0039694253,  -0.0060789105,  -0.0070552393
  6.3509,   0.1236904711,   0.0071556652,   0.0011834608,  -0.0016928007,  -0.0017365175
  6.7245,   0.1105023474,  -0.0080392314,  -0.0017235107,   0.0028690984,   0.0037673221
  7.0981,   0.0958146378,  -0.0226278976,  -0.0044966997,   0.0072047757,   0.0089670755
  7.4716,   0.0811191499,  -0.0357431136,  -0.0069689974,   0.0110509191,   0.0135430750
  7.8452,   0.0673796460,  -0.0469264351,  -0.0090523325,   0.0142690632,   0.0173279140
