  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
   0.0000000,   0.0000000009,   0.0000048837,   0.0000596093,  -0.0002165319,  -0.0003004274
   0.2500000,  -0.0000001920,  -0.0000275664,  -0.0002878064,   0.0011747989,   0.0015519113
   0.5000000,   0.0000000008,  -0.0000007887,  -0.0000111306,   0.0000364140,   0.0000530281
   0.7500000,   0.0000001355,   0.0000140008,   0.0001225606,  -0.0005740909,  -0.0007182329
   1.0000000,  -0.0000003450,  -0.0000000324,   0.0000043834,  -0.0000075991,  -0.0000158144
   1.2500000,  -0.0000038662,  -0.0000109252,  -0.0000658652,   0.0003707893,   0.0004327575
   1.5000000,  -0.0000286094,  -0.0000115971,   0.0000010157,   0.0000085372,  -0.0000069805
   1.7500000,  -0.0001597909,  -0.0000579120,   0.0000601669,  -0.0002120474,  -0.0003613212
   2.0000000,  -0.0006859221,  -0.0002764645,   0.0000925517,   0.0002490454,  -0.0002797168
   2.2500000,  -0.0023454565,  -0.0009393055,   0.0002812597,   0.0010282093,  -0.0007284910
   2.5000000,  -0.0065950472,  -0.0025893798,   0.0008404918,   0.0022581452,  -0.0026090649
   2.7500000,  -0.0156701613,  -0.0060510130,   0.0019823781,   0.0051272540,  -0.0062393577
   3.0000000,  -0.0322096446,  -0.0122150283,   0.0039733431,   0.0106805548,  -0.0122226138
   3.2500000,  -0.0584423830,  -0.0216753596,   0.0070336144,   0.0190299386,  -0.0214959873
   3.5000000,  -0.0952454245,  -0.0343873468,   0.0111541744,   0.0298838913,  -0.0341636537
   3.7500000,  -0.1415230610,  -0.0494865783,   0.0160358455,   0.0427890707,  -0.0489995621
   4.0000000,  -0.1942081309,  -0.0653542621,   0.0211457432,   0.0564898160,  -0.0641704183
   4.2500000,  -0.2488726026,  -0.0799399575,   0.0258143089,   0.0688853278,  -0.0778233988
   4.5000000,  -0.3006751924,  -0.0912234511,   0.0293804126,   0.0780551379,  -0.0880524659
   4.7500000,  -0.3452970522,  -0.0976195086,   0.0313415230,   0.0828954367,  -0.0931228709
   5.0000000,  -0.3796039599,  -0.0982031420,   0.0314114666,   0.0827661656,  -0.0921005009
   5.2500000,  -0.4019315198,  -0.0927627270,   0.0295124583,   0.0772961399,  -0.0850315328
   5.5000000,  -0.4120308397,  -0.0817283900,   0.0257829255,   0.0668082114,  -0.0725311221
   5.7500000,  -0.4107898460,  -0.0660034271,   0.0205503030,   0.0523654696,  -0.0555042086
   6.0000000,  -0.3998578558,  -0.0467470748,   0.0142135350,   0.0351274068,  -0.0351774040
   6.2500000,  -0.3812737064,  -0.0251853135,   0.0071498078,   0.0160131909,  -0.0129690276
   6.5000000,  -0.3571583068,  -0.0024854936,  -0.0002688667,  -0.0039987828,   0.0098435263
   6.7500000,  -0.3294964925,   0.0203283976,  -0.0076708274,  -0.0238042119,   0.0322513979
   7.0000000,  -0.3000067123,   0.0424346206,  -0.0147712811,  -0.0426008356,   0.0534172006
   7.2500000,  -0.2700826561,   0.0632286549,  -0.0214095940,  -0.0600178518,   0.0726647943
   7.5000000,  -0.2407867271,   0.0822970173,  -0.0274646204,  -0.0757445675,   0.0895618922
   7.7500000,  -0.2128764706,   0.0993869392,  -0.0328126037,  -0.0894053723,   0.1038942181
   8.0000000,  -0.1868483078,   0.1143870378,  -0.0374038167,  -0.1008610647,   0.1155695406
   8.2500000,  -0.1629872180,   0.1272986231,  -0.0412836983,  -0.1102617481,   0.1245905155
   8.5000000,  -0.1414153172,   0.1381945369,  -0.0444899284,  -0.1177157814,   0.1310512873
   8.7500000,  -0.1221353343,   0.1471914412,  -0.0470145368,  -0.1232015944,   0.1350959133
   9.0000000,  -0.1050670561,   0.1544411698,  -0.0488957441,  -0.1268302068,   0.1368999034
   9.2500000,  -0.0900765004,   0.1601177249,  -0.0502400959,  -0.1288830368,   0.1366750037
   9.5000000,  -0.0769984846,   0.1643951903,  -0.0511159721,  -0.1295441973,   0.1346276270
   9.7500000,  -0.0656532834,   0.1674379460,  -0.0515267101,  -0.1288545586,   0.1309267485
  10.0000000,  -0.0558582494,   0.1694057491,  -0.0515153612,  -0.1269433144,   0.1257535262
  10.2500000,  -0.0474357252,   0.1704520799,  -0.0511848091,  -0.1240533327,   0.1193237082
  10.5000000,  -0.0402183157,   0.1707127853,  -0.0505878297,  -0.1203243307,   0.1118086821
  10.7500000,  -0.0340518645,   0.1703044600,  -0.0497092105,  -0.1157739682,   0.1033098645
  11.0000000,  -0.0287965870,   0.1693338786,  -0.0485776317,  -0.1104938931,   0.0939570894
  11.2500000,  -0.0243273330,   0.1678994111,  -0.0472800464,  -0.1046608034,   0.0839329565
  11.5000000,  -0.0205334812,   0.1660832660,  -0.0458484237,  -0.0983605464,   0.0733571629
  11.7500000,  -0.0173181581,   0.1639521753,  -0.0442496855,  -0.0915856848,   0.0622670528
  12.0000000,  -0.0145968469,   0.1615667480,  -0.0425009166,  -0.0843951370,   0.0507524340
  12.2500000,  -0.0122961640,   0.1589827351,  -0.0406763870,  -0.0769129382,   0.0389733055
  12.5000000,  -0.0103529929,   0.1562444042,  -0.0387923650,  -0.0691882242,   0.0270120203
  12.7500000,  -0.0087133305,   0.1533856603,  -0.0368046388,  -0.0612030411,   0.0148625848
  13.0000000,  -0.0073308094,   0.1504381482,  -0.0347245900,  -0.0529971667,   0.0025940095
  13.2500000,  -0.0061656705,   0.1474317161,  -0.0326184292,  -0.0446582893,  -0.0096431522
  13.5000000,  -0.0051842407,   0.1443884334,  -0.0304918964,  -0.0362149736,  -0.0217909197
  13.7500000,  -0.0043581114,   0.1413237607,  -0.0282953107,  -0.0276503505,  -0.0338827855
  14.0000000,  -0.0036630037,   0.1382533028,  -0.0260385977,  -0.0189944321,  -0.0458579434
  14.2500000,  -0.0030781571,   0.1351925784,  -0.0237828487,  -0.0103096318,  -0.0575686847
  14.5000000,  -0.0025862134,   0.1321517151,  -0.0215267116,  -0.0016144396,  -0.0689748967
  14.7500000,  -0.0021727081,   0.1291366396,  -0.0192187565,   0.0071006226,  -0.0801286899
  15.0000000,  -0.0018252178,   0.1261546058,  -0.0168697997,   0.0158107776,  -0.0909716181
  15.2500000,  -0.0015330646,   0.1232135049,  -0.0145371913,   0.0244725006,  -0.1013577567
  15.5000000,  -0.0012874743,   0.1203173351,  -0.0122145450,   0.0330713144,  -0.1112630458
  15.7500000,  -0.0010812528,   0.1174674093,  -0.0098509809,   0.0416067791,  -0.1207539827
  16.0000000,  -0.0009081052,   0.1146667861,  -0.0074592590,   0.0500579531,  -0.1297728813
  16.2500000,  -0.0007625400,   0.1119193273,  -0.0050934098,   0.0583966951,  -0.1381776348
  16.5000000,  -0.0006401855,   0.1092260024,  -0.0027432706,   0.0666091695,  -0.1459607701
  16.7500000,  -0.0005375535,   0.1065860801,  -0.0003599506,   0.0746846713,  -0.1532013278
  17.0000000,  -0.0004514527,   0.1040005575,   0.0020415584,   0.0826063479,  -0.1598429227
  17.2500000,  -0.0003790178,   0.1014711310,   0.0044106134,   0.0903594503,  -0.1657505397
  17.5000000,  -0.0003181076,   0.0989973526,   0.0067602930,   0.0979288978,  -0.1709345409
  17.7500000,  -0.0002670985,   0.0965777435,   0.0091365572,   0.1052945069,  -0.1754855726
  18.0000000,  -0.0002243512,   0.0942122960,   0.0115223253,   0.1124444984,  -0.1793499016
  18.2500000,  -0.0001883213,   0.0919014925,   0.0138706187,   0.1193762303,  -0.1824029855
  18.5000000,  -0.0001579924,   0.0896442982,   0.0161967428,   0.1260722788,  -0.1846740336
  18.7500000,  -0.0001326704,   0.0874391212,   0.0185430787,   0.1325043115,  -0.1862644238
  19.0000000,  -0.0001114849,   0.0852854532,   0.0208908432,   0.1386668311,  -0.1871244816
  19.2500000,  -0.0000935553,   0.0831830475,   0.0231970553,   0.1445682890,  -0.1871430013
  19.5000000,  -0.0000784335,   0.0811307137,   0.0254786146,   0.1501882430,  -0.1863683189
  19.7500000,  -0.0000658835,   0.0791270437,   0.0277738642,   0.1554917703,  -0.1849113006
  20.0000000,  -0.0000554121,   0.0771712541,   0.0300628458,   0.1604808244,  -0.1827274012
  20.2500000,  -0.0000464751,   0.0752626221,   0.0323068860,   0.1651739928,  -0.1797207852
  20.5000000,  -0.0000389131,   0.0734000296,   0.0345238500,   0.1695473786,  -0.1759582399
  20.7500000,  -0.0000327115,   0.0715823775,   0.0367477232,   0.1735610938,  -0.1715583248
  21.0000000,  -0.0000275597,   0.0698086971,   0.0389579817,   0.1772255384,  -0.1664821800
  21.2500000,  -0.0000230881,   0.0680779271,   0.0411205073,   0.1805684365,  -0.1606504156
  21.5000000,  -0.0000192853,   0.0663891469,   0.0432534875,   0.1835621516,  -0.1541465874
  21.7500000,  -0.0000162390,   0.0647416047,   0.0453863442,   0.1861634355,  -0.1470945639
  22.0000000,  -0.0000137254,   0.0631341705,   0.0474986477,   0.1883918935,  -0.1394611654
  22.2500000,  -0.0000114705,   0.0615655279,   0.0495609995,   0.1902833049,  -0.1311835550
  22.5000000,  -0.0000095390,   0.0600350246,   0.0515912487,   0.1918061195,  -0.1223594152
  22.7500000,  -0.0000080608,   0.0585422506,   0.0536141518,   0.1929152659,  -0.1131150103
  23.0000000,  -0.0000068532,   0.0570859091,   0.0556100608,   0.1936400451,  -0.1034223115
  23.2500000,  -0.0000056985,   0.0556644863,   0.0575543693,   0.1940231209,  -0.0932342396
