  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
  0.0000,   0.0000000022,  -0.0000000012,   0.0000003150,  -0.0000006246,  -0.0000009276
  0.8040,  -0.0000091811,   0.0000059943,   0.0000200926,  -0.0000413488,  -0.0000593395
  1.6080,   0.0000212377,  -0.0000137273,  -0.0000224900,   0.0000480257,   0.0000666035
  2.4121,  -0.0000378296,   0.0000241842,   0.0000224120,  -0.0000504669,  -0.0000666444
  3.2161,   0.0000616151,  -0.0000388916,  -0.0000215199,   0.0000523464,   0.0000643964
  4.0201,  -0.0000974235,   0.0000605615,   0.0000199619,  -0.0000546296,  -0.0000603664
  4.8241,   0.0001547390,  -0.0000943738,  -0.0000174119,   0.0000579513,   0.0000537282
  5.6281,  -0.0002509234,   0.0001492960,   0.0000131307,  -0.0000630604,  -0.0000425371
  6.4322,   0.0007003737,  -0.0003953162,   0.0000041580,   0.0000896356,  -0.0000020216
  7.2362,   0.0396620509,  -0.0211498504,   0.0013779158,   0.0024965918,  -0.0035109658
  8.0402,   0.6505159567,  -0.3292113754,   0.0211180450,   0.0394148410,  -0.0536632002
  8.8442,   2.9280000748,  -1.3526214704,   0.0866647174,   0.1614130207,  -0.2200757363
  9.6482,   5.9742862911,  -2.3320611472,   0.1487939535,   0.2771061913,  -0.3772392424
 10.4523,   7.4813961260,  -2.0530779037,   0.1297893923,   0.2412537840,  -0.3278267362
 11.2563,   6.9298582413,  -0.6000750466,   0.0356810968,   0.0657776183,  -0.0878594679
 12.0603,   5.3292064970,   1.1599251050,  -0.0770513246,  -0.1443822254,   0.1983770786
 12.8643,   3.6534114473,   2.5959996298,  -0.1677384517,  -0.3128127599,   0.4272797994
 13.6683,   2.3332022941,   3.5208063303,  -0.2241773961,  -0.4173209023,   0.5677604101
 14.4724,   1.4261851760,   3.9970262567,  -0.2506006823,  -0.4652507111,   0.6307205211
 15.2764,   0.8485877446,   4.1562146947,  -0.2553616538,  -0.4727697436,   0.6374203406
 16.0804,   0.4964982164,   4.1174742853,  -0.2462883041,  -0.4539026122,   0.6078902648
 16.8844,   0.2875855181,   3.9658715262,  -0.2286988048,  -0.4191636621,   0.5556503087
 17.6884,   0.1654533634,   3.7564718547,  -0.2062851274,  -0.3748593445,   0.4902173729
 18.4925,   0.0948869495,   3.5221617876,  -0.1810112104,  -0.3252633053,   0.4166082875
 19.2965,   0.0542121689,   3.2822379545,  -0.1542870184,  -0.2724354706,   0.3385788486
 20.1005,   0.0310025122,   3.0470044501,  -0.1266476383,  -0.2179996480,   0.2575592752
 20.9045,   0.0176358787,   2.8221667114,  -0.0986532278,  -0.1624437775,   0.1751902829
 21.7085,   0.0101051057,   2.6100779208,  -0.0703492073,  -0.1064883781,   0.0916980291
 22.5126,   0.0057080607,   2.4119055498,  -0.0420200002,  -0.0501190871,   0.0080560117
 23.3166,   0.0033041212,   2.2274631313,  -0.0135604950,   0.0062203087,  -0.0758650249
 24.1206,   0.0018303774,   2.0565407653,   0.0148272638,   0.0626876358,  -0.1592814000
 24.9246,   0.0010950968,   1.8982360225,   0.0432895560,   0.1189168699,  -0.2424125400
 25.7286,   0.0005712547,   1.7519981198,   0.0716473332,   0.1750998209,  -0.3245252209
 26.5327,   0.0003780808,   1.6167942222,   0.1000553399,   0.2308909646,  -0.4058555502
 27.3367,   0.0001626595,   1.4920557181,   0.1283409794,   0.2864858251,  -0.4856870996
 28.1407,   0.0001453120,   1.3767960494,   0.1566584762,   0.3415453313,  -0.5642566343
 28.9447,   0.0000302216,   1.2705195303,   0.1848378641,   0.3962616891,  -0.6408607844
 29.7487,   0.0000695965,   1.1723308536,   0.2130306704,   0.4503002457,  -0.7157363299
 30.5528,  -0.0000125191,   1.0818244022,   0.2410691554,   0.5038489535,  -0.7881963734
 31.3568,   0.0000447623,   0.9982000582,   0.2691017094,   0.5565783646,  -0.8584803196
 32.1608,  -0.0000260843,   0.9211373263,   0.2969631593,   0.6086725037,  -0.9259221326
 32.9648,   0.0000363708,   0.8499234642,   0.3247986607,   0.6598083008,  -0.9907666301
 33.7688,  -0.0000301221,   0.7843125420,   0.3524460099,   0.7101662568,  -1.0523726271
 34.5729,   0.0000332576,   0.7236689161,   0.3800470445,   0.7594307233,  -1.1109927375
