  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
  0.0000,   0.0000000005,  -0.0000051213,  -0.0006236059,  -0.0011890553,  -0.0017186084
  0.4000,   0.0000000006,   0.0000011898,   0.0001448543,   0.0002762275,   0.0003993091
  0.8000,   0.0000004966,  -0.0000003357,  -0.0000747400,  -0.0001423458,  -0.0002060121
  1.2000,   0.0000309975,   0.0000175808,   0.0000474253,   0.0001019288,   0.0001335914
  1.6000,   0.0007581068,   0.0004146141,  -0.0001184712,   0.0000515741,  -0.0002582393
  2.0000,   0.0088286260,   0.0047604768,  -0.0008843968,   0.0014954989,  -0.0016528166
  2.4000,   0.0573616968,   0.0303341510,  -0.0058527970,   0.0091030764,  -0.0111251275
  2.8000,   0.2354997579,   0.1214385281,  -0.0232979352,   0.0366277110,  -0.0441411845
  3.2000,   0.6738087056,   0.3361820912,  -0.0645089836,   0.1011265556,  -0.1221220234
  3.6000,   1.4511822995,   0.6931646541,  -0.1328104776,   0.2082105679,  -0.2509510023
  4.0000,   2.4995871033,   1.1263425482,  -0.2154967333,   0.3374278213,  -0.4062610773
  4.4000,   3.6114446485,   1.5032001730,  -0.2869450103,   0.4488047943,  -0.5391690508
  4.8000,   4.5440960021,   1.6928025967,  -0.3221210023,   0.5028322223,  -0.6023912053
  5.2000,   5.1283783661,   1.6255355101,  -0.3077617072,   0.4790600191,  -0.5712102448
  5.6000,   5.3132109500,   1.3088515608,  -0.2455973080,   0.3802522743,  -0.4496556959
  6.0000,   5.1464346235,   0.8056809221,  -0.1479300405,   0.2261044713,  -0.2617500401
  6.4000,   4.7278600952,   0.2005017662,  -0.0312412971,   0.0425521381,  -0.0393902622
  6.8000,   4.1661722400,  -0.4278460096,   0.0892048125,  -0.1461957207,   0.1880820655
  7.2000,   3.5529019659,  -1.0202454055,   0.2019350498,  -0.3221523356,   0.3986475508
  7.6000,   2.9528282611,  -1.5403631225,   0.2999571986,  -0.4742235622,   0.5789798870
  8.0000,   2.4048609405,  -1.9714158930,   0.3800197409,  -0.5973856871,   0.7229065413
  8.4000,   1.9276000100,  -2.3106719751,   0.4416319554,  -0.6908168340,   0.8295869858
  8.8000,   1.5257964712,  -2.5640881492,   0.4859406688,  -0.7564088972,   0.9012813834
  9.2000,   1.1958902471,  -2.7420932650,   0.5149876263,  -0.7973381386,   0.9419871317
  9.6000,   0.9300694176,  -2.8567017598,   0.5310839437,  -0.8173144118,   0.9561848941
 10.0000,   0.7189322041,  -2.9197561403,   0.5365328443,  -0.8199308420,   0.9483625835
 10.4000,   0.5530632370,  -2.9419948593,   0.5333940844,  -0.8084907161,   0.9225205481
 10.8000,   0.4238585640,  -2.9326600689,   0.5234615868,  -0.7857921043,   0.8821765755
 11.2000,   0.3238743264,  -2.8994291089,   0.5082031238,  -0.7542017921,   0.8302132426
 11.6000,   0.2468975943,  -2.8485181443,   0.4888261689,  -0.7156041542,   0.7690444974
 12.0000,   0.1878704964,  -2.7848644813,   0.4662722017,  -0.6715380143,   0.7005716489
 12.4000,   0.1427486817,  -2.7123303940,   0.4412956815,  -0.6231860017,   0.6263686766
 12.8000,   0.1083406554,  -2.6338998681,   0.4144659548,  -0.5715048425,   0.5476557603
 13.2000,   0.0821527480,  -2.5518530294,   0.3862355018,  -0.5172137532,   0.4654588575
 13.6000,   0.0622510873,  -2.4679146428,   0.3569364497,  -0.4609012125,   0.3805754051
 14.0000,   0.0471445249,  -2.3833757592,   0.3268345429,  -0.4030039302,   0.2937024709
 14.4000,   0.0356883409,  -2.2991920768,   0.2961192545,  -0.3438912361,   0.2053924394
 14.8000,   0.0270067692,  -2.2160614665,   0.2649459171,  -0.2838362678,   0.1161553034
 15.2000,   0.0204315730,  -2.1344851089,   0.2334214346,  -0.2230832508,   0.0264079836
 15.6000,   0.0154539286,  -2.0548146003,   0.2016378155,  -0.1618142896,  -0.0634423330
 16.0000,   0.0116870127,  -1.9772886562,   0.1696555593,  -0.1002044742,  -0.1530514338
 16.4000,   0.0088371288,  -1.9020609406,   0.1375312082,  -0.0383870168,  -0.2420681560
 16.8000,   0.0066815000,  -1.8292216623,   0.1052998819,   0.0235001711,  -0.3301875318
 17.2000,   0.0050512814,  -1.7588137146,   0.0729986757,   0.0853492374,  -0.4170903838
 17.6000,   0.0038185750,  -1.6908452292,   0.0406492379,   0.1470418687,  -0.5024948226
 18.0000,   0.0028865519,  -1.6252988017,   0.0082782230,   0.2084829642,  -0.5861027581
 18.4000,   0.0021819266,  -1.5621387347,  -0.0240996016,   0.2695645443,  -0.6676489776
 18.8000,   0.0016492540,  -1.5013162346,  -0.0564630634,   0.3301978687,  -0.7468528494
 19.2000,   0.0012465914,  -1.4427735700,  -0.0888007189,   0.3902807055,  -0.8234646934
 19.6000,   0.0009422207,  -1.3864469448,  -0.1210942085,   0.4497277273,  -0.8972215259
 20.0000,   0.0007121545,  -1.3322688773,  -0.1533335512,   0.5084404267,  -0.9678907041
 20.4000,   0.0005382587,  -1.2801697425,  -0.1855018034,   0.5663357922,  -1.0352289245
 20.8000,   0.0004068209,  -1.2300791296,  -0.2175895150,   0.6233183792,  -1.0990232655
 21.2000,   0.0003074773,  -1.1819266277,  -0.2495804549,   0.6793073513,  -1.1590528776
 21.6000,   0.0002323910,  -1.1356425986,  -0.2814652704,   0.7342103576,  -1.2151276106
 22.0000,   0.0001756406,  -1.0911585354,  -0.3132281096,   0.7879490632,  -1.2670519824
 22.4000,   0.0001327478,  -1.0484075016,  -0.3448595433,   0.8404345707,  -1.3146615954
 22.8000,   0.0001003299,  -1.0073242512,  -0.3763439569,   0.8915915760,  -1.3577890647
 23.2000,   0.0000758281,  -0.9678454791,  -0.4076718001,   0.9413351322,  -1.3962984279
 23.6000,   0.0000573102,  -0.9299098089,  -0.4388276494,   0.9895935633,  -1.4300527752
 24.0000,   0.0000433141,  -0.8934579372,  -0.4698018502,   1.0362864063,  -1.4589468450
 24.4000,   0.0000327365,  -0.8584325511,  -0.5005791682,   1.0813462096,  -1.4828761437
 24.8000,   0.0000247416,  -0.8247784123,  -0.5311498860,   1.1246975171,  -1.5017679008
 25.2000,   0.0000186995,  -0.7924422397,  -0.5614989767,   1.1662776645,  -1.5155515000
 25.6000,   0.0000141326,  -0.7613727600,  -0.5916167091,   1.2060166913,  -1.5241879512
 26.0000,   0.0000106814,  -0.7315205738,  -0.6214882876,   1.2438572368,  -1.5276414779
 26.4000,   0.0000080727,  -0.7028381891,  -0.6511040165,   1.2797352806,  -1.5259076477
 26.8000,   0.0000061014,  -0.6752798816,  -0.6804493560,   1.3135992307,  -1.5189859823
 27.2000,   0.0000046111,  -0.6488017191,  -0.7095146917,   1.3453914034,  -1.5069068723
 27.6000,   0.0000034852,  -0.6233614221,  -0.7382857628,   1.3750663869,  -1.4897050931
 28.0000,   0.0000026339,  -0.5989183840,  -0.7667530775,   1.4025731831,  -1.4674456189
